Author Name,Sex
Nancy Beaulieu,0
Lucian Arye Bebchuk,1
Gary S. Becker,1
Randy Becker,1
Robert A. Becker,1
Sascha O. Becker,1
William E. Becker,1
Martin J. Beckmann,1
Kelly Bedard,0
John R. Beddington,1
Steven Bednar,1
Alan Beggs,1
Kristian Behrens,1
Jere R. Behrman,1
Richard O. Beil,1
Paul A. Bekker,1
Eli Bekman,1
Brian D. Bell,1
Clive Bell,1
Frederick W. Bell,1
Jason Bell,1
Charles Bellemare,1
Alexander Van der Bellen,1
Richard Bellman,1
Marianna Belloc,0
A. Belloni,1
Frederico Belo,1
Michael T. Belongia,1
Willie Belton,1
Rudolfs Bems,1
Dan Ben-David,1
Itzhak Ben-David,1
Adi Ben-Israel,1
Avner Ben-Ner,1
Elchanan Ben-Porath,1
Yoram Ben-Porath,1
A. Ben-Tal,1
Roland Bénabou,1
Michel Benaim,1
Michel Benaïm,1
Shlomo Benartzi,1
Jean-Pascal Benassy,1
Luca Benati,1
Valerie R. Bencivenga,0
Bruce Bender,1
Stefan Bender,1
Jess Benhabib,1
Pierpaolo Benigno,1
Haskel Benishay,1
Daniel J. Benjamin,1
Daniel K. Benjamin,1
Dwayne Benjamin,1
C. Lanier Benkard,1
Efraim Benmelech,1
Alberto Bennardo,1
Morten Bennedsen,1
Paul Bennett,1
Simon Benninga,1
Jean-Pierre Benoît,1
Benjamin Bental,1
Arthur A. van Benthem,1
Brian L. Bentick,1
Antonio M. Bento,1
Lawrence M. Benveniste,1
Stephen J. Berardi,1
Peter Berck,1
Yoella Bereby-Meyer,0
Aleksander Berentsen,1
Arie Beresteanu,1
Gerard J. Van Den Berg,1
Joyce E. Berg,0
Dirk Bergemann,1
Mark Bergen,1
Allen N. Berger,1
Daniel Berger,1
David Berger,1
Mark C. Berger,1
W. J. Berger,1
James Bergin,1
Paul R. Bergin,1
Eitan Berglas,1
Erik Berglöf,1
Nittai K. Bergman,1
Barbara R. Bergmann,0
Abram Bergson,1
Daniel Bergstresser,1
Albert Rex Bergstrom,1
Clas Bergstrom,1
Theodore C. Bergstrom,1
Jere R. Berhman,1
Jonathan B. Berk,1
Martin Berka,1
James Berkovec,1
Marcus Berliant,1
Eli Berman,1
Nicolas Berman,1
Ben S. Bernanke,1
Andrew B. Bernard,1
Antonio E. Bernardo,1
Ernst R. Berndt,1
Richard Berner,1
Dan Bernhardt,1
B. Douglas Bernheim,1
Daniel M. Bernhofen,1
Mira Bernstein,0
James Berry,1
R. Albert Berry,1
Steven T. Berry,1
Amy L. Bertin,0
Giuseppe Bertola,1
Stefano M. Bertozzi,1
Marianne Bertrand,0
Trent J. Bertrand,1
David Besanko,1
Stanley M. Besen,1
John Beshears,1
Timothy J. Besley,1
Michael Carlos Best,1
Helmut Bester,1
Eric P. Bettinger,1
Truman F. Bewley,1
Harald Beyer,1
Jagdish Natwarlal Bhagwati,1
Surjit S. Bhalla,1
Sonia Bhalotra,0
Prashant Bharadwaj,1
Alok Bhargava,1
Saurabh Bhargava,1
Debopam Bhattacharya,1
Sourav Bhattacharya,1
Sudipto Bhattacharya,1
Saroj Bhattarai,1
Huixin Bi,0
Bruno Biais,1
Francesco Bianchi,1
Javier Bianchi,1
Christian Bidard,1
Jeff E. Biddle,1
Chris Bidner,1
Herman J. Bierens,1
G. O. Bierwag,1
Saki Bigio,1
Maria Bigoni,0
Sushil Bikhchandani,1
Florin O. Bilbiie,1
L. Kamran Bilir,0
Stephen B. Billings,1
Antoine Billot,1
Mark J. Bills,1
Mark Bils,1
Ken Binmore,1
Jules van Binsbergen,1
Roger C. Bird,1
Jon Birkeli,1
Robert L. Bish,1
John H. Bishop,1
Kelly C. Bishop,0
Robert L. Bishop,1
Alberto Bisin,1
Marianne P. Bitler,0
George C. Bitros,1
David S. Bizer,1
John M. Bizjak,1
Erik Biørn,1
Olav Bjerkholt,1
Anders Björklund,1
Martina Björkman,0
Dan A. Black,1
Duncan Black,1
Fischer Sheffey Black,1
S. W. Black,1
Sandra E. Black,0
Brian Blackburn,1
Charles Blackorby,1
Steven Blader,1
Douglas H. Blair,1
Thomas Blake,1
Olivier Jean Blanchard,1
David G. Blanchflower,1
German Blanco,1
Herminio Blanco,1
Luisa Blanco,0
Rebecca M. Blank,0
Christopher Blattman,1
David M. Blau,1
Francine D. Blau,0
Julian H. Blau,1
Hoyt Bleakley,1
Mario I. Blejer,1
Jean-Marie Blin,1
Alan S. Blinder,1
Christopher Bliss,1
Robert R. Bliss,1
Rudolph C. Blitz,1
Harry Bloch,1
Herbert D. Block,1
Michael Kent Block,1
Glenn C. Blomquist,1
Sören Blomquist,1
Bruce A. Blonigen,1
David E. Bloom,1
Erik Bloom,1
Nicholas Bloom,1
Stefan D. Bloomfield,1
Linda Blumberg,0
Andreas Blume,1
Lawrence E. Blume,1
Richard W. Blundell,1
Conrad Alexander Blyth,1
Ernesto Dal Bó,1
Pedro Dal Bó,1
William M. Boal,1
Oliver Board,1
Simon Board,1
Gustavo J. Bobonis,1
Daniela Del Boca,0
Zvi Bodie,1
Ronald G. Bodkin,1
Mark V. Van Boening,1
Vicki L. Bogan,0
Werner Böge,1
Dan C. Boger,1
Michael L. Bognanno,1
Anna Bogomolnaia,0
Douglas R. Bohi,1
Volker Bohm,1
Henning Bohn,1
Sarah Bohn,0
Iris Bohnet,0
Johanne Boisjoly,0
Marcel Boiteux,1
Jean Boivin,1
Michele Boldrin,1
Tim Bollerslev,1
Gary E. Bolton,1
Patrick Bolton,1
Mark R. Bomball,1
Matilde Bombardini,0
William A. Bomberger,1
Ranko Bon,1
Giacomo Bonanno,1
Alessandro Bonatti,1
Eric W. Bond,1
Raymond R. De Bondt,1
Stéphane Bonhomme,1
Jean-Marc Bonnisseau,1
Vittorio Bonomo,1
Christian Bontemps,1
Holger Bonus,1
Peter Boone,1
Arnoud W. A. Boot,1
John C. G. Boot,1
Timo Boppart,1
Karl Borch,1
Thomas E. Borcherding,1
Pedro Bordalo,1
Kim C. Border,1
Michael David Bordo,1
Severin Borenstein,1
Tilman Borgers,1
Tilman Börgers,1
George J. Borjas,1
Jitendralal Borkakoti,1
