,Name,Sex
381,Andreas Grunewald,
382,Andreas Herrmann,1
383,Andreas Hornstein,1
384,Andreas I. Mueller,1
385,Andreas Kontoleon,1
386,Andreas Lange,1
387,Andreas Leibbrandt,
388,Andreas Madestam,1
389,Andreas Moxnes,1
390,Andreas Park,1
391,Andreas Ravndal Kostøl,1
392,Andreas Roider,1
393,Andreas Steinhauer,
394,Andrei A. Levchenko,1
395,Andrei Kirilenko,1
396,Andrei Shleifer,1
397,Andres Almazan,
398,Andres Babino,1
399,Andres Erosa,1
400,Andres Rodriguez‐Clare,
401,Andres Santos,1
402,Andres Velasco,
403,Andreu Mas-Colell,1
404,Andrew A. Samwick,1
405,Andrew Ang,
406,Andrew Atkeson,1
407,Andrew B. Abel,1
408,Andrew B. Bernard,1
409,Andrew Caplin,1
410,Andrew Charlton,1
411,Andrew Chesher,1
412,Andrew Ching,1
413,Andrew D. Foster,1
414,Andrew F. Daughety,1
415,Andrew F. Newman,1
416,Andrew Foster,1
417,Andrew G. Atkeson,
418,Andrew Goodman-Bacon,1
419,Andrew Harvey,1
420,Andrew Haughwout,1
421,Andrew J. Oswald,1
422,Andrew J. Plantinga,1
423,Andrew J. Policano,1
424,Andrew J. Seltzer,1
425,Andrew John,
426,Andrew Johnston,1
427,Andrew K. G. Hildreth,
428,Andrew K. Rose,1
429,Andrew Kato,
430,Andrew M. Warner,1
431,Andrew McLennan,1
432,Andrew Metrick,1
433,Andrew Morton,1
434,Andrew Mountford,
435,Andrew P. Blake,
436,Andrew Postlewaite,1
437,Andrew Rhodes,
438,Andrew Rose,1
439,Andrew S. Caplin,1
440,Andrew Schmitz,1
441,Andrew Schotter,1
442,Andrew Shephard,
443,Andrew Sweeting,1
444,Andrew T. Foerster,1
445,Andrew V. Carter,1
446,Andrew W. Lo,1
447,Andrew Weiss,1
448,Andrew Whinston,1
449,Andrey Fradkin,1
450,Andrey Malenko,1
451,Andriy Norets,1
452,Andrzej Rapaczynski,1
453,Andrzej Ruszczyński,
454,Andrzej Skrzypacz,1
455,András Nagy,1
456,André De Palma,
457,André Sapir,1
458,André de Palma,1
459,Andrés Aradillas-López,1
460,Andrés Carvajal,1
461,Andrés Erosa,
462,Andrés Rodríguez-Clare,1
463,Andrés Velasco,1
464,Aner Sela,1
465,Angel Serrat,1
466,Angela K. Dills,0
467,Angelo Melino,
468,Angus Deaton,1
469,Angus S. Deaton,1
470,Anil B. Deolalikar,1
471,Anil K Kashyap,
472,Anil K. Bera,
473,Anil K. Kashyap,1
474,Anil Kashyap,1
475,Aniol Llorente-Saguer,1
476,Anirban Mitra,1
477,Anjan Mukherji,1
478,Anjan V. Thakor,1
479,Anjini Kochar,0
480,Anke S. Kessler,0
481,Ann A. McDermed,0
482,Ann Bartel,0
483,Ann D. Witte,0
484,Ann Dryden Witte,0
485,Ann E. Harrison,0
486,Ann F. Friedlaender,0
487,Ann P. Bartel,0
488,Anna Aizer,0
489,Anna Bogomolnaia,0
490,Anna Dreber,0
491,Anna J. Schwartz,0
492,Anna L. Paulson,0
493,Anna Maria Mayda,0
494,Anna Mikusheva,0
495,Anna Pavlova,0
496,Anna Salomons,0
497,Annamaria Lusardi,0
498,Anne Brockmeyer,0
499,Anne C. Case,0
500,Anne C. Sibert,
501,Anne Case,0
502,Anne E. Peck,
503,Anne O. Krueger,0
504,Anne P. Villamil,0
505,Anne Sibert,
506,Anne Sérandon,
507,Annette Vissing-Jorgensen,
508,Annette Vissing-Jørgensen,0
509,Annette Vissing‐Jørgensen,
510,Annika Sundén,0
511,"Anthony A. Smith, Jr.",1
512,Anthony C. Fisher,1
513,Anthony F. Shorrocks,1
514,Anthony G. Lawrence,1
515,Anthony J. Pellechio,
516,Anthony J. Venables,1
517,Anthony Leung,1
518,Anthony M. Kwasnica,1
519,Anthony Patrick O'Brien,1
520,Anthony Paul,1
521,Anthony Romeo,1
522,Anthony Venables,1
523,Anthony Y. C. Koo,1
524,Antje Brunner,
525,Antoine Billot,1
526,Antoine Bozio,1
527,Antoine Faure-Grimaud,
528,Antoine d'Autume,
529,Antoinette Schoar,0
530,Anton P. Barten,1
531,Antonella Trigari,0
532,Antoni Calvó-Armengol,1
533,Antoni Calvó‐Armengol,
534,Antoni Estevadeordal,1
535,Antoni Zabalza,1
536,Antonin Macé,1
